# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
9288,1727,191,209666,206776
9308,1714,171,209696,206788
9328,1723,163,209725,206796
9348,1716,135,209740,206773
9368,1720,132,209702,206737
9388,1719,159,209648,206725
9408,1735,112,209633,206681
9428,1723,128,209557,206665
9448,1724,129,209466,206604
9468,1724,111,209388,206576
9488,1735,127,209341,206584
9508,1735,98,209386,206602
9528,1736,95,209429,206623
9548,1744,95,209455,206620
9568,1737,103,209435,206624
9588,1745,87,209435,206582
9612,1752,199,209393,206572
9632,1751,196,209399,206603
9652,1738,183,209479,206633
9672,1755,173,209517,206673
9692,1745,185,209601,206713
9712,1756,159,209663,206745
9732,1740,174,209671,206750
9752,1759,160,209716,206773
9772,1757,139,209712,206767
9792,1751,135,209676,206714
9812,1742,129,209642,206716
9832,1753,114,209634,206705
9852,1767,111,209646,206727
9872,1759,128,209702,206745
9892,1747,124,209764,206803
9912,1753,104,209810,206828
9932,1758,99,209851,206843
9952,1756,87,209895,206603
9972,1760,89,209942,206881
9992,1752,85,209926,206873
10015,1759,215,209948,206884
10035,1759,203,209984,206916
10055,1748,215,209999,206919
10075,1771,179,210025,206917
10095,1760,177,210031,206940
10115,1756,167,210070,206934
10135,4095,167,210073,206924
10155,4095,176,210004,206877
10175,4095,140,209965,206837
10195,1751,151,209924,206815
10215,1753,151,209919,206815
10235,1755,131,209950,206827
10255,1753,128,209925,206811
10275,1771,125,209909,206802
10295,1759,104,209875,206779
10315,1759,123,209824,206730
10335,1761,107,209730,206717
10355,1761,97,209663,206698
10375,1754,93,209687,206919
10395,1759,95,209705,206712
10415,1763,102,209688,206687
10439,1767,221,209657,206704
10459,1761,192,209693,206694
10479,1771,195,209732,206733
10499,1763,179,209728,206732
10519,1759,158,209739,206717
10539,1756,156,209716,206702
10559,1771,148,209691,206639
10579,1764,141,209644,206638
10599,1763,157,209607,206616
10619,1762,118,209615,206615
10639,1771,127,209624,206634
10659,1779,116,209659,206666
10679,1769,120,209736,206706
10699,1768,100,209776,206750
10719,1775,95,209832,206759
10739,1762,95,209862,206771
10759,1765,79,209878,206785
10779,1767,100,209874,206783
10799,1767,104,209835,206735
10823,1775,207,209833,206743
10843,1783,215,209808,206745
10863,1764,191,209847,206749
10883,1775,191,209903,206783
10903,1771,191,209926,206780
10923,1776,156,209941,206767
10943,1768,177,209888,206764
10963,1764,147,209866,206704
10983,1772,139,209813,206641
11003,1771,140,209717,206612
11023,1783,144,209680,206569
11043,1766,128,209662,206572
11063,1770,112,209678,206576
11083,1773,115,209694,206564
11103,1783,105,209708,206602
11123,1771,117,209761,206629
11143,1767,103,209839,206647
11163,1764,87,209882,206687
11183,1769,95,209919,206704
11203,1770,87,209904,206683
11227,1766,209,209866,206687
11247,1775,223,209824,206658
11267,1789,182,209813,206673
11287,1776,187,209801,206687
11307,1769,156,209847,206699
11327,1777,165,209868,206703
11347,1770,159,209858,206718
11367,1787,140,209899,206732
11387,1768,155,209907,206746
11407,1789,133,209928,206742
11427,1776,143,209937,206744
11447,1775,141,209946,206764
11467,1777,120,209992,206778
11487,1775,106,209998,206767
11507,1768,113,209947,206701
11527,1776,95,209859,206649
11547,1777,101,209775,206616
11567,1781,78,209773,206610
11587,1783,81,209767,206580
11607,1777,91,209627,206503
11630,1787,217,209615,206490
11650,1783,208,209630,206500
11670,1783,203,209646,206459
11690,1789,184,209627,206474
11710,1781,177,209607,206460
11730,1768,171,209601,206452
11750,1772,171,209673,206505
11770,1783,152,209738,206506
11790,1791,137,209750,206541
11810,1791,135,209753,206550
11830,1787,119,209831,206600
11850,1772,118,209949,206675
11870,1777,110,210054,206749
11890,1773,87,210102,206754
11910,1775,105,210133,206783
11930,1772,111,210154,206796
11950,1784,99,210213,206843
11970,1772,105,210214,206843
11990,1771,93,210209,206848
12010,1792,78,210237,206862
12030,1775,84,210085,206730
12053,1791,223,209877,206602
12073,1773,208,209702,206554
12093,1791,193,209649,206457
12113,1783,186,209388,206336
12133,1780,191,209131,206242
12153,1787,156,209058,206194
