# 10-Minute Meditation Session (Glasses Wearable)
# Date: 2026-01-22T23:42:36.342036
# Duration: 600 seconds
# Samples: 29704
# Setup: Thermistor on glasses near nostrils
#
timestamp_ms,thermistor,piezo,ir,red
6660,1783,117,201340,192133
6680,1783,121,201357,192151
6700,1776,111,201287,192108
6720,1791,115,201242,192085
6740,1805,120,201168,192044
6760,1793,121,201093,192013
6780,1788,120,201052,192006
6800,1788,116,201009,191988
6820,1807,119,200987,191972
6840,1807,116,200960,191937
6860,1809,125,200882,191886
6880,1798,115,200811,191836
6900,1821,116,200750,191780
6920,1802,113,200719,191771
6940,1811,119,200712,191762
6960,1804,120,200746,191756
6984,1817,96,200724,191753
7004,1814,86,200705,191721
7024,1817,95,200699,191713
7044,1812,103,200663,191701
7064,1814,89,200655,191682
7084,1816,92,200651,191669
7104,1825,96,200626,191656
7124,1831,103,200643,191657
7144,1825,90,199720,191568
7164,1820,95,200601,191562
7184,1823,107,200514,191501
7204,1839,109,200416,191444
7224,1847,104,200415,191449
7244,1835,90,200432,191454
7264,1851,96,200430,191439
7284,1839,95,200407,191435
7304,1839,97,200379,191429
7324,1836,90,200428,191721
7344,1851,103,200456,191440
7364,1835,99,200437,191439
7387,1836,74,200458,191430
7407,1851,87,200489,191498
7427,1845,75,200544,191494
7447,1851,73,200557,191483
7467,1851,87,200521,191479
7487,1842,75,200545,191482
7507,1846,74,200561,191483
7527,1847,79,200498,191427
7547,1848,87,200469,191428
7567,1847,73,200462,191434
7587,1855,76,200433,191444
7607,1867,81,200431,191443
7627,1861,73,200419,191437
7647,1850,72,200432,191455
7667,1865,80,200423,191446
7687,1859,88,200415,191450
7707,1865,79,199288,191452
7727,1865,87,200401,191428
7747,1856,72,200401,191444
7767,1863,87,200456,191463
7787,1856,74,200460,191461
7810,1871,81,200454,191444
7830,1860,95,200423,191425
7850,1860,96,200372,191422
7870,1863,88,200390,191411
7890,1879,95,200382,191390
7910,1864,80,200379,191392
7930,1879,88,200406,191403
7950,1871,75,200388,191404
7970,1864,81,200435,191424
7990,1873,89,200471,191435
8010,1864,87,200476,191462
8030,1866,76,200514,191453
8050,1866,76,200506,191456
8070,1883,76,200510,191453
8090,1879,87,200547,191472
8110,1881,87,200564,191484
8130,1887,76,200566,191466
8150,1879,87,200561,191444
8170,1885,80,200550,191422
8190,1871,91,200542,191427
8210,1885,80,200610,191476
8234,1868,119,200629,191459
8254,1871,110,200629,191482
8274,1865,119,200659,191488
8294,1856,108,200625,191480
8314,1848,112,200605,191432
8334,1855,119,200564,191435
8354,1842,107,200513,191417
8374,1847,106,200499,191410
8394,1851,120,200460,191399
8414,1832,123,200438,191395
8434,1835,106,200429,191382
8454,1833,112,200392,191357
8474,1823,119,200360,191352
8494,1823,103,200350,191334
8514,1821,112,200332,191322
8534,1817,115,200317,191296
8554,1809,109,200341,191337
8574,1797,105,200404,191377
8594,1799,98,200445,191374
8614,1783,107,200477,191381
8638,1780,139,200491,191391
8658,1767,135,200475,191374
8678,1767,124,200481,191380
8698,1752,120,200470,191394
8718,1752,128,200505,191408
8738,1745,123,200550,191429
8758,1757,128,200550,191444
8778,1741,120,200600,191467
8798,1728,118,200639,191487
8818,1725,119,200692,191507
8838,1720,137,200707,191517
8858,1727,123,200670,191474
8878,1715,120,200654,191439
8898,1708,120,200641,191439
8918,1712,128,200663,191427
8938,1712,112,200694,191448
8958,1701,117,200674,191446
8978,1690,114,200686,191374
8998,1691,128,200687,191444
9018,1635,115,200752,191492
9041,1683,119,200767,191473
9061,1687,129,200784,191476
9081,1687,118,200765,191498
9101,1688,124,200781,191466
9121,1664,122,200707,191423
9141,1664,137,200641,191383
9161,1675,139,200590,191352
9181,1656,122,200516,191334
9201,1656,127,200476,191319
9221,1656,122,200475,191334
9241,1648,129,200574,191404
9261,1655,139,200723,191509
9281,1655,135,200871,191611
9301,1657,120,201033,191705
9321,1643,131,201158,191728
9341,1643,123,201204,191773
9361,1643,129,199432,191807
9381,1634,122,201304,191814
9401,1636,122,201345,191821
9421,1639,133,201295,191781
9441,1639,129,201173,191707
9465,1636,101,201089,191653
9485,1643,107,200967,191599
9505,1633,88,200943,191589
9525,1625,97,200921,191617
9545,1619,95,201019,191700
9565,1631,107,201275,191885
9585,1629,103,201524,192054
9605,1631,90,201788,192220
9625,1631,109,201963,192336
9645,1631,104,202034,192352
9665,1618,107,202002,192335
9685,1621,97,201924,192293
9705,1631,103,201847,192228
9725,1612,107,201758,192171
9745,1611,90,201671,192120
9765,1631,95,201620,192101
9785,1619,92,201551,192032
9805,1608,104,201488,191599
9825,1608,95,201452,191963
9845,1604,96,201380,191923
9869,1608,78,201403,191950
9889,1605,79,201397,191919
9909,1606,75,199523,191937
9929,1608,79,201379,191934
9949,1603,83,201399,191912
9969,1598,74,201341,191870
9989,1611,83,201222,191802
10009,1601,74,201133,191740
10029,1615,88,201007,191684
10049,1601,83,200912,191621
10069,1603,76,200822,191560
10089,1592,76,200739,191536
10109,1592,91,200722,191546
10129,1613,83,200709,191528
10149,1615,85,200655,191481
10169,1605,93,200590,191435
10189,1599,85,200501,191376
10209,1608,83,200414,191919
10229,1595,87,200369,191291
10249,1592,78,200309,191234
10273,1599,93,200259,191219
10293,1599,91,200261,191192
10313,1601,83,200275,191220
10333,1611,88,200280,191232
10353,1601,89,200333,191277
10373,1601,85,200393,191297
10393,1592,78,200401,191284
10413,1596,95,200429,191300
10433,1590,80,200410,191284
10453,1597,78,200430,191274
10473,1600,87,200439,191278
10493,1600,91,200427,191278
10513,1591,81,200431,191258
10533,1609,83,200414,191245
10553,1603,87,200401,191227
10573,1593,75,200392,191214
10593,1601,76,200396,191230
10613,1614,83,200412,191216
10633,1600,75,200418,191218
10653,1607,79,200475,191254
10677,1623,119,200474,191271
10697,1600,106,200519,191274
10717,1609,113,200570,191323
10737,1624,113,200561,191300
10757,1611,107,200533,191268
10777,1619,119,200524,191297
10797,1623,115,200572,191279
10817,1620,108,200550,191299
10837,1624,111,200507,191262
10857,1637,113,200431,191206
10877,1648,112,200372,191180
10897,1645,111,200291,191139
10917,1647,111,200244,191122
10937,1655,119,200203,191100
10957,1657,112,200171,191065
10977,1646,102,200154,191066
10997,1656,111,200152,191080
11017,1660,112,200159,191052
11037,1664,105,200121,191034
11061,1658,130,200111,191041
11081,1664,126,200088,191023
11101,1669,131,200129,191016
11121,1673,133,200134,191003
11141,1675,123,200086,190981
11161,1683,112,200070,190973
11181,1692,127,200078,190992
11201,1678,135,200069,190960
11221,1696,143,200065,190967
11241,1688,120,200055,190961
11261,1688,122,200077,190955
11281,1697,123,200117,191006
11301,1704,131,200135,190984
11321,1709,135,200136,190977
11341,1700,135,200142,191010
11361,1715,131,200184,191014
11381,1715,129,200195,190997
11401,1712,120,200180,190998
11421,1729,123,200193,191001
11441,1729,118,200221,190985
11465,1736,123,200196,190977
11485,1736,119,200172,190976
11505,1736,119,200200,190951
11525,1752,125,200188,190946
11545,1743,112,200213,190963
11565,1757,106,198650,190977
11585,1759,115,200213,190970
11605,1752,123,200248,190988
11625,1756,106,200268,190992
11645,1754,108,200269,190994
11665,1756,111,200231,190952
11685,1765,107,200160,190950
11705,1762,106,200089,190890
11725,1767,113,200026,190853
11745,1764,119,199961,190859
11765,1764,111,199966,190839
11785,1783,119,199953,190827
11805,1768,107,199932,190842
11825,1769,112,199925,190829
